title,description,published_at,source,url,country
"D4vd Ordered Chainsaws From Amazon To Dismember Teen, DA Says In Gruesome Filing",A grisly filing from prosecutors Wednesday detailing how D4vd allegedly killed a teen paints a very vivid & permanent impression of a horrific crime,2026-04-30T01:40:00Z,Deadline,https://deadline.com/2026/04/d4vd-ordered-chainsaws-alibi-murder-1236876406/,USA
Detroit Pistons score in Game 5 win over Magic,"The Detroit Pistons beat the Orlando Magic 116-109 on Wednesday, April 29, at Little Caesars Arena in Detroit.",2026-04-30T01:31:00Z,Detroit Free Press,https://www.freep.com/story/sports/nba/pistons/2026/04/29/pistons-magic-game-score-game-5-nba-playoffs/89835817007/,USA
"LeAnn Rimes suffering from 'severe illness,' forced to cancel shows after Mexico vacation","LeAnn Rimes canceled two upcoming shows due to ""severe illness,"" she shared on Instagram Wednesday.",2026-04-30T01:18:00Z,Page Six,https://pagesix.com/2026/04/29/celebrity-news/leann-rimes-suffering-from-severe-illness-forced-to-cancel-shows-after-mexico-vacation/,USA
Prosecutors say singer D4vd stabbed 14-year-old to death,Prosecutors say singer D4vd killed 14-year-old Celeste Rivas Hernandez by stabbing her multiple times.,2026-04-30T01:17:00Z,AP News,https://apnews.com/article/d4vd-celeste-rivas-hernandez-la-death-5f0f75063da762ad8b73951851b1f0d6,USA
Escala la tensión entre Noboa y Petro días antes de que entren en vigor los aranceles del 100 % sobre productos colombianos,"La tensión entre Daniel Noboa y Gustavo Petro se intensificó este miércoles con un intercambio en la red social X, en medio de una crisis diplomática marcada por acusaciones cruzadas por la seguridad en la frontera y una guerra comercial, en la que los aranceles del 100 % a productos colombianos entran en vigor este viernes.",2026-04-30T01:06:00Z,CNN en Español,https://cnnespanol.cnn.com/2026/04/29/latinoamerica/tension-noboa-petro-colombia-ecuador-orix,USA
PSG and Bayern’s box-fresh talents or Premier League title tussle: you can only have one,The Premier League isn’t as fun and fizzy as PSG v Bayern but that’s the price of the twice-weekly churn that rewards discipline and sacrifice,2026-04-30T01:31:00Z,The Guardian,https://www.theguardian.com/football/2026/apr/29/psg-bayern-munich-premier-league-analysis,UK
Office for Students’ University of Sussex humiliation is a symptom of deeper failings,England’s higher education regulator must rebuild trust with troubled sector after series of blunders under previous leadership,2026-04-30T01:31:00Z,The Guardian,https://www.theguardian.com/education/2026/apr/29/office-for-students-university-of-sussex-humiliation-is-a-symptom-of-deeper-failings,UK
Indian billionaire’s son offers to house Pablo Escobar’s hippos at his private zoo,"Anant Ambani revives offer to transport 80 animals, all descendants of Colombian drug kingpin’s pets, to India",2026-04-30T01:31:00Z,The Guardian,https://www.theguardian.com/world/2026/apr/29/indian-billionaire-son-anant-ambani-offers-house-pablo-escobar-hippos,UK
Bondi Beach shooting: Royal commission interim report says gun reform should be prioritised,"Gun reforms should be prioritised and policing around Jewish events increased, royal commission says.",2026-04-30T01:26:28Z,BBC,https://www.bbc.co.uk/news/articles/cdjpw0n889yo,UK
Trump demands Zambia hand over mineral rights by tomorrow or he'll cut country’s medication access,"The southern African country must decide by Thursday, April 30 if it will provide US businesses with preferential access to its minerals or lose US funding which helps over one million people",2026-04-30T00:46:00Z,The Mirror,https://www.mirror.co.uk/news/world-news/zambia-us-mineral-rights-hiv-37089914,UK
Every word: Arteta's post-Atletico Madrid presser,Find out what the boss had to say to the media following our Champions League semi-final first leg,2026-04-30T00:45:38Z,Arsenal.com,https://www.arsenal.com/news/every-word-artetas-post-atletico-madrid-presser,UK
Endometriosis: New scan technique shows promise for earlier detection,"A new scan technique could spot areas of endometriosis missed by conventional scans, scientists say.",2026-04-30T00:08:59Z,BBC,https://www.bbc.co.uk/news/articles/clyplwvgxjvo,UK
The city caught in the middle of the big energy shift debate,Is the UK fumbling the shift away from oil and gas jobs?,2026-04-30T00:08:10Z,BBC,https://www.bbc.co.uk/news/articles/c1k239p409po,UK
Plymouth homes evacuated over WW2 device with 400m cordon in place,"A Royal Navy explosives team is at the building site where the ordnance was discovered, with homes evacuated and an emergency centre set up.",2026-04-29T23:18:00Z,BBC,https://www.bbc.co.uk/news/live/cewp151w9jzt,UK
More than 200 schools across Merseyside set for major change,EXCLUSIVE: plans for biggest education changes in a generation as hundreds of schools to be moved out of local authority control,2026-04-29T23:03:37Z,Liverpool Echo,https://www.liverpoolecho.co.uk/news/liverpool-news/more-200-schools-across-merseyside-33856660,UK
How multi-omics is changing what scientists can see in the human immune system,"Human systems immunology is using multi-omics, single-cell tools, spatial technologies, and AI to decode immune responses across real-world human cohorts. The review highlights major opportunities for biomarker discovery and precision medicine, while stressing the need for rigorous study design, validation, and careful interpretation.",2026-04-30T02:43:00Z,News-Medical,https://www.news-medical.net/news/20260429/How-multi-omics-is-changing-what-scientists-can-see-in-the-human-immune-system.aspx,Australia
Christchurch mosque attacker's conviction appeal application declined by New Zealand court,A New Zealand court declines an application by the Australian man who murdered 51 people at two mosques in 2019 to appeal his convictions.,2026-04-30T02:38:17Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-30/christchurch-attacker-conviction-appeal-rejected-by-nz-court/106621126,Australia
Men accused of flying drone over Wollongong to traffic drugs,T﻿wo men have been charged today over allegedly smuggling drugs by drone south of Sydney.Events began about...,2026-04-30T02:36:22Z,9News,https://www.9news.com.au/national/men-charged-with-smuggling-drugs-by-drone-in-wollongong/b5a21901-6b91-4a56-8c8c-7c98c18db15d,Australia
Leapmotor already outpacing Stellantis stablemates in Australia,New EV entrant leaps ahead as legacy brands within the group continue to lose ground,2026-04-30T02:31:26Z,Carsales,https://www.carsales.com.au/editorial/details/leapmotor-already-outpacing-stellantis-stablemates-in-australia-151917/,Australia
Syria says Australia won't repatriate families from camp for those with alleged ties to ISIS,"The federal government has warned some members of the so-called ISIS bride group may face the ""full force o...",2026-04-30T02:27:29Z,9News,https://www.9news.com.au/national/syria-calls-on-australia-to-find-solution-for-group-with-alleged-ties-to-islamic-state/5bf01f57-fff4-451e-9e3b-3eef24d50446,Australia
Woolworths posts 4.5 per cent quarterly sales jump for Q3,"Woolies have warned Australians they could be paying even more for their groceries this year as producers and suppliers are slammed by surging costs, thanks to the US-Iran war oil shock.",2026-04-30T02:15:00Z,News.com.au,https://www.news.com.au/finance/business/retail/woolworths-has-posted-45-per-cent-jump-in-sales-for-q3/news-story/dcddfcbd6003ee9642c05e7eed6c2cf3,Australia
‘He could’ve got more’: Jarome Luai contract twist revealed as PNG Chiefs detail ‘shock’ signing,Luai’s ‘unselfish’ move as PNG contract twist revealed after ‘shock’ 72-hour coup,2026-04-30T02:12:32Z,Fox Sports,https://www.foxsports.com.au/nrl/nrl-premiership/nrl-2026-png-chiefs-official-press-conference-after-signing-jarome-luai-luai-couldve-taken-more-money-michael-chammas-wests-tigers-what-did-they-say-reaction/news-story/18bbe4d66fa377c9791056b492803bc6,Australia
Survey reveals silica dust risks for Australia’s tunnel workers,"The responses to a national survey published today have revealed tunnel construction workers across Australia say they face significant exposure to silica dust, a hazardous dust that can cause incurable diseases like silicosis and lung cancer.",2026-04-30T02:12:00Z,News-Medical,https://www.news-medical.net/news/20260429/Survey-reveals-silica-dust-risks-for-Australiae28099s-tunnel-workers.aspx,Australia
Ross Lyon clarifies Saints resignation offer over comment to First Nations players,St Kilda coach Ross Lyon is proud of the way the club reacted after he offended a group of the club's First Nations players.,2026-04-30T02:07:23Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-30/afl-saints-ross-lyon-clarifies-resignation-speculation/106624740,Australia
Sugary drinks tax to tackle Australia’s worsening obesity crisis,"With obesity having overtaken tobacco as the leading risk factor for disease burden in Australia, we are continuing our calls for a tax on sugar sweetened beverages.",2026-04-30T02:04:22Z,Australian Medical Association,https://www.ama.com.au/articles/sugary-drinks-tax-tackle-australias-worsening-obesity-crisis,Australia
